Spec       Vlos   Elem   Rest_lam app  linecen   lowbound  highbound
d40069  -149.619  26.0  3899.707  54  3897.761  3896.761  3898.761
d40070  -148.056  26.0  3899.707  54  3897.781  3896.781  3898.781
d40071  -146.048  26.0  3899.707  54  3897.807  3896.807  3898.807
d40072  -144.348  26.0  3899.707  54  3897.829  3896.829  3898.829
d40074  -142.057  26.0  3899.707  54  3897.859  3896.859  3898.859
d40075  -140.871  26.0  3899.707  54  3897.875  3896.875  3898.875
d40076  -139.777  26.0  3899.707  54  3897.889  3896.889  3898.889
d50042  -157.392  26.0  3899.707  54  3897.660  3896.660  3898.660
d50043  -156.407  26.0  3899.707  54  3897.672  3896.672  3898.672
d50044  -155.517  26.0  3899.707  54  3897.684  3896.684  3898.684
d50045  -154.025  26.0  3899.707  54  3897.703  3896.703  3898.703
d50047  -151.874  26.0  3899.707  54  3897.731  3896.731  3898.731
d50048  -149.815  26.0  3899.707  54  3897.758  3896.758  3898.758
d50049  -148.265  26.0  3899.707  54  3897.779  3896.779  3898.779
d50050  -146.356  26.0  3899.707  54  3897.803  3896.803  3898.803
d50052  -144.401  26.0  3899.707  54  3897.829  3896.829  3898.829
d50053  -142.467  26.0  3899.707  54  3897.854  3896.854  3898.854
d50054  -140.811  26.0  3899.707  54  3897.875  3896.875  3898.875
d50055  -139.233  26.0  3899.707  54  3897.896  3896.896  3898.896
d50057  -137.775  26.0  3899.707  54  3897.915  3896.915  3898.915
d50058  -136.216  26.0  3899.707  54  3897.935  3896.935  3898.935
d50059  -135.101  26.0  3899.707  54  3897.949  3896.949  3898.949
d50060  -133.599  26.0  3899.707  54  3897.969  3896.969  3898.969
d50062  -132.477  26.0  3899.707  54  3897.984  3896.984  3898.984
d50063  -131.016  26.0  3899.707  54  3898.003  3897.003  3899.003
d50064  -130.203  26.0  3899.707  54  3898.013  3897.013  3899.013
d50065  -129.480  26.0  3899.707  54  3898.023  3897.023  3899.023
d50067  -129.761  26.0  3899.707  54  3898.019  3897.019  3899.019
d50068  -130.675  26.0  3899.707  54  3898.007  3897.007  3899.007
d50069  -132.578  26.0  3899.707  54  3897.983  3896.983  3898.983
d50070  -134.722  26.0  3899.707  54  3897.955  3896.955  3898.955
d50072  -139.210  26.0  3899.707  54  3897.896  3896.896  3898.896
d50073  -145.916  26.0  3899.707  54  3897.809  3896.809  3898.809
d50074  -152.926  26.0  3899.707  54  3897.718  3896.718  3898.718
d50075  -154.943  26.0  3899.707  54  3897.692  3896.692  3898.692
d10006  -152.461  22.1  3900.550  54  3898.566  3897.566  3899.566
d10007  -156.877  22.1  3900.550  54  3898.509  3897.509  3899.509
d10008  -158.951  22.1  3900.550  54  3898.482  3897.482  3899.482
d10009  -159.293  22.1  3900.550  54  3898.478  3897.478  3899.478
d10011  -158.495  22.1  3900.550  54  3898.488  3897.488  3899.488
d10012  -157.286  22.1  3900.550  54  3898.504  3897.504  3899.504
d10013  -155.579  22.1  3900.550  54  3898.526  3897.526  3899.526
d10014  -153.762  22.1  3900.550  54  3898.550  3897.550  3899.550
d10016  -151.306  22.1  3900.550  54  3898.581  3897.581  3899.581
d10017  -149.237  22.1  3900.550  54  3898.608  3897.608  3899.608
d10018  -147.109  22.1  3900.550  54  3898.636  3897.636  3899.636
d10019  -145.733  22.1  3900.550  54  3898.654  3897.654  3899.654
d10021  -143.520  22.1  3900.550  54  3898.683  3897.683  3899.683
d10022  -142.055  22.1  3900.550  54  3898.702  3897.702  3899.702
d10023  -140.392  22.1  3900.550  54  3898.723  3897.723  3899.723
d10024  -139.068  22.1  3900.550  54  3898.740  3897.740  3899.740
d10026  -137.285  22.1  3900.550  54  3898.764  3897.764  3899.764
d10027  -137.382  22.1  3900.550  54  3898.763  3897.763  3899.763
d10028  -134.076  22.1  3900.550  54  3898.806  3897.806  3899.806
d10029  -133.674  22.1  3900.550  54  3898.811  3897.811  3899.811
d20011  -141.894  22.1  3900.550  54  3898.704  3897.704  3899.704
d20012  -140.718  22.1  3900.550  54  3898.719  3897.719  3899.719
d20013  -138.944  22.1  3900.550  54  3898.742  3897.742  3899.742
d20014  -137.557  22.1  3900.550  54  3898.760  3897.760  3899.760
d20016  -135.433  22.1  3900.550  54  3898.788  3897.788  3899.788
d20017  -134.168  22.1  3900.550  54  3898.804  3897.804  3899.804
d20018  -133.089  22.1  3900.550  54  3898.818  3897.818  3899.818
d20019  -132.285  22.1  3900.550  54  3898.829  3897.829  3899.829
d20021  -131.189  22.1  3900.550  54  3898.843  3897.843  3899.843
d20024  -132.542  22.1  3900.550  54  3898.826  3897.826  3899.826
d20026  -135.071  22.1  3900.550  54  3898.793  3897.793  3899.793
d20027  -139.049  22.1  3900.550  54  3898.741  3897.741  3899.741
d20028  -144.439  22.1  3900.550  54  3898.671  3897.671  3899.671
d20029  -149.635  22.1  3900.550  54  3898.603  3897.603  3899.603
d20031  -154.885  22.1  3900.550  54  3898.535  3897.535  3899.535
d20032  -156.092  22.1  3900.550  54  3898.519  3897.519  3899.519
d20033  -156.599  22.1  3900.550  54  3898.512  3897.512  3899.512
d20034  -156.429  22.1  3900.550  54  3898.515  3897.515  3899.515
d20036  -155.934  22.1  3900.550  54  3898.521  3897.521  3899.521
d20037  -154.837  22.1  3900.550  54  3898.535  3897.535  3899.535
d20038  -153.512  22.1  3900.550  54  3898.553  3897.553  3899.553
d20039  -151.965  22.1  3900.550  54  3898.573  3897.573  3899.573
d20040  -150.387  22.1  3900.550  54  3898.594  3897.594  3899.594
d30009  -153.269  22.1  3900.550  54  3898.556  3897.556  3899.556
d30010  -156.370  22.1  3900.550  54  3898.516  3897.516  3899.516
d30011  -157.290  22.1  3900.550  54  3898.504  3897.504  3899.504
d30012  -157.343  22.1  3900.550  54  3898.503  3897.503  3899.503
d30014  -156.857  22.1  3900.550  54  3898.509  3897.509  3899.509
d30015  -155.282  22.1  3900.550  54  3898.530  3897.530  3899.530
d30016  -153.756  22.1  3900.550  54  3898.550  3897.550  3899.550
d30017  -151.970  22.1  3900.550  54  3898.573  3897.573  3899.573
d30019  -149.222  22.1  3900.550  54  3898.608  3897.608  3899.608
d30020  -147.589  22.1  3900.550  54  3898.630  3897.630  3899.630
d30021  -145.672  22.1  3900.550  54  3898.655  3897.655  3899.655
d30022  -143.943  22.1  3900.550  54  3898.677  3897.677  3899.677
d30024  -141.619  22.1  3900.550  54  3898.708  3897.708  3899.708
d30025  -140.295  22.1  3900.550  54  3898.725  3897.725  3899.725
d30026  -138.513  22.1  3900.550  54  3898.748  3897.748  3899.748
d30027  -137.125  22.1  3900.550  54  3898.766  3897.766  3899.766
d30029  -135.791  22.1  3900.550  54  3898.783  3897.783  3899.783
d30030  -133.815  22.1  3900.550  54  3898.809  3897.809  3899.809
d30031  -132.524  22.1  3900.550  54  3898.826  3897.826  3899.826
d30032  -131.435  22.1  3900.550  54  3898.840  3897.840  3899.840
d30034  -130.343  22.1  3900.550  54  3898.854  3897.854  3899.854
d30035  -130.128  22.1  3900.550  54  3898.857  3897.857  3899.857
d30036  -129.879  22.1  3900.550  54  3898.860  3897.860  3899.860
d30037  -130.543  22.1  3900.550  54  3898.852  3897.852  3899.852
d30039  -133.432  22.1  3900.550  54  3898.814  3897.814  3899.814
d30040  -135.747  22.1  3900.550  54  3898.784  3897.784  3899.784
d40043  -136.469  22.1  3900.550  54  3898.774  3897.774  3899.774
d40044  -134.786  22.1  3900.550  54  3898.796  3897.796  3899.796
d40045  -133.674  22.1  3900.550  54  3898.811  3897.811  3899.811
d40046  -132.485  22.1  3900.550  54  3898.826  3897.826  3899.826
d40048  -131.485  22.1  3900.550  54  3898.839  3897.839  3899.839
d40049  -130.963  22.1  3900.550  54  3898.846  3897.846  3899.846
d40050  -130.490  22.1  3900.550  54  3898.852  3897.852  3899.852
d40051  -131.117  22.1  3900.550  54  3898.844  3897.844  3899.844
d40053  -132.360  22.1  3900.550  54  3898.828  3897.828  3899.828
d40054  -134.132  22.1  3900.550  54  3898.805  3897.805  3899.805
d40055  -136.354  22.1  3900.550  54  3898.776  3897.776  3899.776
d40056  -139.971  22.1  3900.550  54  3898.729  3897.729  3899.729
d40057  -145.999  22.1  3900.550  54  3898.650  3897.650  3899.650
d40059  -152.110  22.1  3900.550  54  3898.571  3897.571  3899.571
d40060  -154.953  22.1  3900.550  54  3898.534  3897.534  3899.534
d40061  -155.664  22.1  3900.550  54  3898.525  3897.525  3899.525
d40062  -156.587  22.1  3900.550  54  3898.513  3897.513  3899.513
d40064  -156.182  22.1  3900.550  54  3898.518  3897.518  3899.518
d40065  -155.294  22.1  3900.550  54  3898.530  3897.530  3899.530
d40066  -154.133  22.1  3900.550  54  3898.545  3897.545  3899.545
d40067  -152.178  22.1  3900.550  54  3898.570  3897.570  3899.570
d40069  -149.619  22.1  3900.550  54  3898.604  3897.604  3899.604
d40070  -148.056  22.1  3900.550  54  3898.624  3897.624  3899.624
d40071  -146.048  22.1  3900.550  54  3898.650  3897.650  3899.650
d40072  -144.348  22.1  3900.550  54  3898.672  3897.672  3899.672
d40074  -142.057  22.1  3900.550  54  3898.702  3897.702  3899.702
d40075  -140.871  22.1  3900.550  54  3898.717  3897.717  3899.717
d40076  -139.777  22.1  3900.550  54  3898.731  3897.731  3899.731
d50042  -157.392  22.1  3900.550  54  3898.502  3897.502  3899.502
d50043  -156.407  22.1  3900.550  54  3898.515  3897.515  3899.515
d50044  -155.517  22.1  3900.550  54  3898.527  3897.527  3899.527
d50045  -154.025  22.1  3900.550  54  3898.546  3897.546  3899.546
d50047  -151.874  22.1  3900.550  54  3898.574  3897.574  3899.574
d50048  -149.815  22.1  3900.550  54  3898.601  3897.601  3899.601
d50049  -148.265  22.1  3900.550  54  3898.621  3897.621  3899.621
d50050  -146.356  22.1  3900.550  54  3898.646  3897.646  3899.646
d50052  -144.401  22.1  3900.550  54  3898.671  3897.671  3899.671
d50053  -142.467  22.1  3900.550  54  3898.696  3897.696  3899.696
d50054  -140.811  22.1  3900.550  54  3898.718  3897.718  3899.718
d50055  -139.233  22.1  3900.550  54  3898.739  3897.739  3899.739
d50057  -137.775  22.1  3900.550  54  3898.758  3897.758  3899.758
d50058  -136.216  22.1  3900.550  54  3898.778  3897.778  3899.778
d50059  -135.101  22.1  3900.550  54  3898.792  3897.792  3899.792
d50060  -133.599  22.1  3900.550  54  3898.812  3897.812  3899.812
d50062  -132.477  22.1  3900.550  54  3898.826  3897.826  3899.826
d50063  -131.016  22.1  3900.550  54  3898.845  3897.845  3899.845
d50064  -130.203  22.1  3900.550  54  3898.856  3897.856  3899.856
d50065  -129.480  22.1  3900.550  54  3898.865  3897.865  3899.865
d50067  -129.761  22.1  3900.550  54  3898.862  3897.862  3899.862
d50068  -130.675  22.1  3900.550  54  3898.850  3897.850  3899.850
d50069  -132.578  22.1  3900.550  54  3898.825  3897.825  3899.825
d50070  -134.722  22.1  3900.550  54  3898.797  3897.797  3899.797
d50072  -139.210  22.1  3900.550  54  3898.739  3897.739  3899.739
d50073  -145.916  22.1  3900.550  54  3898.652  3897.652  3899.652
d50074  -152.926  22.1  3900.550  54  3898.560  3897.560  3899.560
d50075  -154.943  22.1  3900.550  54  3898.534  3897.534  3899.534
d10006  -152.461  14.0  3905.520  54  3903.534  3902.534  3904.534
d10007  -156.877  14.0  3905.520  54  3903.476  3902.476  3904.476
d10008  -158.951  14.0  3905.520  54  3903.449  3902.449  3904.449
d10009  -159.293  14.0  3905.520  54  3903.445  3902.445  3904.445
d10011  -158.495  14.0  3905.520  54  3903.455  3902.455  3904.455
d10012  -157.286  14.0  3905.520  54  3903.471  3902.471  3904.471
d10013  -155.579  14.0  3905.520  54  3903.493  3902.493  3904.493
d10014  -153.762  14.0  3905.520  54  3903.517  3902.517  3904.517
d10016  -151.306  14.0  3905.520  54  3903.549  3902.549  3904.549
d10017  -149.237  14.0  3905.520  54  3903.576  3902.576  3904.576
d10018  -147.109  14.0  3905.520  54  3903.604  3902.604  3904.604
d10019  -145.733  14.0  3905.520  54  3903.621  3902.621  3904.621
d10021  -143.520  14.0  3905.520  54  3903.650  3902.650  3904.650
d10022  -142.055  14.0  3905.520  54  3903.669  3902.669  3904.669
d10023  -140.392  14.0  3905.520  54  3903.691  3902.691  3904.691
d10024  -139.068  14.0  3905.520  54  3903.708  3902.708  3904.708
d10026  -137.285  14.0  3905.520  54  3903.731  3902.731  3904.731
d10027  -137.382  14.0  3905.520  54  3903.730  3902.730  3904.730
d10028  -134.076  14.0  3905.520  54  3903.773  3902.773  3904.773
d10029  -133.674  14.0  3905.520  54  3903.779  3902.779  3904.779
d20011  -141.894  14.0  3905.520  54  3903.671  3902.671  3904.671
d20012  -140.718  14.0  3905.520  54  3903.687  3902.687  3904.687
d20013  -138.944  14.0  3905.520  54  3903.710  3902.710  3904.710
d20014  -137.557  14.0  3905.520  54  3903.728  3902.728  3904.728
d20016  -135.433  14.0  3905.520  54  3903.756  3902.756  3904.756
d20017  -134.168  14.0  3905.520  54  3903.772  3902.772  3904.772
d20018  -133.089  14.0  3905.520  54  3903.786  3902.786  3904.786
d20019  -132.285  14.0  3905.520  54  3903.797  3902.797  3904.797
d20021  -131.189  14.0  3905.520  54  3903.811  3902.811  3904.811
d20024  -132.542  14.0  3905.520  54  3903.793  3902.793  3904.793
d20026  -135.071  14.0  3905.520  54  3903.760  3902.760  3904.760
d20027  -139.049  14.0  3905.520  54  3903.708  3902.708  3904.708
d20028  -144.439  14.0  3905.520  54  3903.638  3902.638  3904.638
d20029  -149.635  14.0  3905.520  54  3903.571  3902.571  3904.571
d20031  -154.885  14.0  3905.520  54  3903.502  3902.502  3904.502
d20032  -156.092  14.0  3905.520  54  3903.487  3902.487  3904.487
d20033  -156.599  14.0  3905.520  54  3903.480  3902.480  3904.480
d20034  -156.429  14.0  3905.520  54  3903.482  3902.482  3904.482
d20036  -155.934  14.0  3905.520  54  3903.489  3902.489  3904.489
d20037  -154.837  14.0  3905.520  54  3903.503  3902.503  3904.503
d20038  -153.512  14.0  3905.520  54  3903.520  3902.520  3904.520
d20039  -151.965  14.0  3905.520  54  3903.540  3902.540  3904.540
d20040  -150.387  14.0  3905.520  54  3903.561  3902.561  3904.561
d30009  -153.269  14.0  3905.520  54  3903.523  3902.523  3904.523
