Spec       Vlos   Elem   Rest_lam app  linecen   lowbound  highbound
d50067  -129.761  26.0  4005.250  52  4003.516  4002.516  4004.516
d50068  -130.675  26.0  4005.250  52  4003.504  4002.504  4004.504
d50069  -132.578  26.0  4005.250  52  4003.479  4002.479  4004.479
d50070  -134.722  26.0  4005.250  52  4003.450  4002.450  4004.450
d50072  -139.210  26.0  4005.250  52  4003.390  4002.390  4004.390
d50073  -145.916  26.0  4005.250  52  4003.301  4002.301  4004.301
d50074  -152.926  26.0  4005.250  52  4003.207  4002.207  4004.207
d50075  -154.943  26.0  4005.250  52  4003.180  4002.180  4004.180
d10006  -152.461  22.1  4012.390  52  4010.349  4009.349  4011.349
d10007  -156.877  22.1  4012.390  52  4010.290  4009.290  4011.290
d10008  -158.951  22.1  4012.390  52  4010.263  4009.263  4011.263
d10009  -159.293  22.1  4012.390  52  4010.258  4009.258  4011.258
d10011  -158.495  22.1  4012.390  52  4010.269  4009.269  4011.269
d10012  -157.286  22.1  4012.390  52  4010.285  4009.285  4011.285
d10013  -155.579  22.1  4012.390  52  4010.308  4009.308  4011.308
d10014  -153.762  22.1  4012.390  52  4010.332  4009.332  4011.332
d10016  -151.306  22.1  4012.390  52  4010.365  4009.365  4011.365
d10017  -149.237  22.1  4012.390  52  4010.392  4009.392  4011.392
d10018  -147.109  22.1  4012.390  52  4010.421  4009.421  4011.421
d10019  -145.733  22.1  4012.390  52  4010.439  4009.439  4011.439
d10021  -143.520  22.1  4012.390  52  4010.469  4009.469  4011.469
d10022  -142.055  22.1  4012.390  52  4010.489  4009.489  4011.489
d10023  -140.392  22.1  4012.390  52  4010.511  4009.511  4011.511
d10024  -139.068  22.1  4012.390  52  4010.529  4009.529  4011.529
d10026  -137.285  22.1  4012.390  52  4010.552  4009.552  4011.552
d10027  -137.382  22.1  4012.390  52  4010.551  4009.551  4011.551
d10028  -134.076  22.1  4012.390  52  4010.595  4009.595  4011.595
d10029  -133.674  22.1  4012.390  52  4010.601  4009.601  4011.601
d20011  -141.894  22.1  4012.390  52  4010.491  4009.491  4011.491
d20012  -140.718  22.1  4012.390  52  4010.507  4009.507  4011.507
d20013  -138.944  22.1  4012.390  52  4010.530  4009.530  4011.530
d20014  -137.557  22.1  4012.390  52  4010.549  4009.549  4011.549
d20016  -135.433  22.1  4012.390  52  4010.577  4009.577  4011.577
d20017  -134.168  22.1  4012.390  52  4010.594  4009.594  4011.594
d20018  -133.089  22.1  4012.390  52  4010.609  4009.609  4011.609
d20019  -132.285  22.1  4012.390  52  4010.619  4009.619  4011.619
d20021  -131.189  22.1  4012.390  52  4010.634  4009.634  4011.634
d20024  -132.542  22.1  4012.390  52  4010.616  4009.616  4011.616
d20026  -135.071  22.1  4012.390  52  4010.582  4009.582  4011.582
d20027  -139.049  22.1  4012.390  52  4010.529  4009.529  4011.529
d20028  -144.439  22.1  4012.390  52  4010.457  4009.457  4011.457
d20029  -149.635  22.1  4012.390  52  4010.387  4009.387  4011.387
d20031  -154.885  22.1  4012.390  52  4010.317  4009.317  4011.317
d20032  -156.092  22.1  4012.390  52  4010.301  4009.301  4011.301
d20033  -156.599  22.1  4012.390  52  4010.294  4009.294  4011.294
d20034  -156.429  22.1  4012.390  52  4010.296  4009.296  4011.296
d20036  -155.934  22.1  4012.390  52  4010.303  4009.303  4011.303
d20037  -154.837  22.1  4012.390  52  4010.318  4009.318  4011.318
d20038  -153.512  22.1  4012.390  52  4010.335  4009.335  4011.335
d20039  -151.965  22.1  4012.390  52  4010.356  4009.356  4011.356
d20040  -150.387  22.1  4012.390  52  4010.377  4009.377  4011.377
d30009  -153.269  22.1  4012.390  52  4010.339  4009.339  4011.339
d30010  -156.370  22.1  4012.390  52  4010.297  4009.297  4011.297
d30011  -157.290  22.1  4012.390  52  4010.285  4009.285  4011.285
d30012  -157.343  22.1  4012.390  52  4010.284  4009.284  4011.284
d30014  -156.857  22.1  4012.390  52  4010.291  4009.291  4011.291
d30015  -155.282  22.1  4012.390  52  4010.312  4009.312  4011.312
d30016  -153.756  22.1  4012.390  52  4010.332  4009.332  4011.332
d30017  -151.970  22.1  4012.390  52  4010.356  4009.356  4011.356
d30019  -149.222  22.1  4012.390  52  4010.393  4009.393  4011.393
d30020  -147.589  22.1  4012.390  52  4010.415  4009.415  4011.415
d30021  -145.672  22.1  4012.390  52  4010.440  4009.440  4011.440
d30022  -143.943  22.1  4012.390  52  4010.463  4009.463  4011.463
d30024  -141.619  22.1  4012.390  52  4010.495  4009.495  4011.495
d30025  -140.295  22.1  4012.390  52  4010.512  4009.512  4011.512
d30026  -138.513  22.1  4012.390  52  4010.536  4009.536  4011.536
d30027  -137.125  22.1  4012.390  52  4010.555  4009.555  4011.555
d30029  -135.791  22.1  4012.390  52  4010.573  4009.573  4011.573
d30030  -133.815  22.1  4012.390  52  4010.599  4009.599  4011.599
d30031  -132.524  22.1  4012.390  52  4010.616  4009.616  4011.616
d30032  -131.435  22.1  4012.390  52  4010.631  4009.631  4011.631
d30034  -130.343  22.1  4012.390  52  4010.646  4009.646  4011.646
d30035  -130.128  22.1  4012.390  52  4010.648  4009.648  4011.648
d30036  -129.879  22.1  4012.390  52  4010.652  4009.652  4011.652
d30037  -130.543  22.1  4012.390  52  4010.643  4009.643  4011.643
d30039  -133.432  22.1  4012.390  52  4010.604  4009.604  4011.604
d30040  -135.747  22.1  4012.390  52  4010.573  4009.573  4011.573
d40043  -136.469  22.1  4012.390  52  4010.563  4009.563  4011.563
d40044  -134.786  22.1  4012.390  52  4010.586  4009.586  4011.586
d40045  -133.674  22.1  4012.390  52  4010.601  4009.601  4011.601
d40046  -132.485  22.1  4012.390  52  4010.617  4009.617  4011.617
d40048  -131.485  22.1  4012.390  52  4010.630  4009.630  4011.630
d40049  -130.963  22.1  4012.390  52  4010.637  4009.637  4011.637
d40050  -130.490  22.1  4012.390  52  4010.643  4009.643  4011.643
d40051  -131.117  22.1  4012.390  52  4010.635  4009.635  4011.635
d40053  -132.360  22.1  4012.390  52  4010.618  4009.618  4011.618
d40054  -134.132  22.1  4012.390  52  4010.595  4009.595  4011.595
d40055  -136.354  22.1  4012.390  52  4010.565  4009.565  4011.565
d40056  -139.971  22.1  4012.390  52  4010.517  4009.517  4011.517
d40057  -145.999  22.1  4012.390  52  4010.436  4009.436  4011.436
d40059  -152.110  22.1  4012.390  52  4010.354  4009.354  4011.354
d40060  -154.953  22.1  4012.390  52  4010.316  4009.316  4011.316
d40061  -155.664  22.1  4012.390  52  4010.307  4009.307  4011.307
d40062  -156.587  22.1  4012.390  52  4010.294  4009.294  4011.294
d40064  -156.182  22.1  4012.390  52  4010.300  4009.300  4011.300
d40065  -155.294  22.1  4012.390  52  4010.311  4009.311  4011.311
d40066  -154.133  22.1  4012.390  52  4010.327  4009.327  4011.327
d40067  -152.178  22.1  4012.390  52  4010.353  4009.353  4011.353
d40069  -149.619  22.1  4012.390  52  4010.387  4009.387  4011.387
d40070  -148.056  22.1  4012.390  52  4010.408  4009.408  4011.408
d40071  -146.048  22.1  4012.390  52  4010.435  4009.435  4011.435
d40072  -144.348  22.1  4012.390  52  4010.458  4009.458  4011.458
d40074  -142.057  22.1  4012.390  52  4010.489  4009.489  4011.489
d40075  -140.871  22.1  4012.390  52  4010.504  4009.504  4011.504
d40076  -139.777  22.1  4012.390  52  4010.519  4009.519  4011.519
d50042  -157.392  22.1  4012.390  52  4010.283  4009.283  4011.283
d50043  -156.407  22.1  4012.390  52  4010.297  4009.297  4011.297
d50044  -155.517  22.1  4012.390  52  4010.309  4009.309  4011.309
d50045  -154.025  22.1  4012.390  52  4010.328  4009.328  4011.328
d50047  -151.874  22.1  4012.390  52  4010.357  4009.357  4011.357
d50048  -149.815  22.1  4012.390  52  4010.385  4009.385  4011.385
d50049  -148.265  22.1  4012.390  52  4010.406  4009.406  4011.406
d50050  -146.356  22.1  4012.390  52  4010.431  4009.431  4011.431
d50052  -144.401  22.1  4012.390  52  4010.457  4009.457  4011.457
d50053  -142.467  22.1  4012.390  52  4010.483  4009.483  4011.483
d50054  -140.811  22.1  4012.390  52  4010.505  4009.505  4011.505
d50055  -139.233  22.1  4012.390  52  4010.526  4009.526  4011.526
d50057  -137.775  22.1  4012.390  52  4010.546  4009.546  4011.546
d50058  -136.216  22.1  4012.390  52  4010.567  4009.567  4011.567
d50059  -135.101  22.1  4012.390  52  4010.582  4009.582  4011.582
d50060  -133.599  22.1  4012.390  52  4010.602  4009.602  4011.602
d50062  -132.477  22.1  4012.390  52  4010.617  4009.617  4011.617
d50063  -131.016  22.1  4012.390  52  4010.636  4009.636  4011.636
d50064  -130.203  22.1  4012.390  52  4010.647  4009.647  4011.647
d50065  -129.480  22.1  4012.390  52  4010.657  4009.657  4011.657
d50067  -129.761  22.1  4012.390  52  4010.653  4009.653  4011.653
d50068  -130.675  22.1  4012.390  52  4010.641  4009.641  4011.641
d50069  -132.578  22.1  4012.390  52  4010.615  4009.615  4011.615
d50070  -134.722  22.1  4012.390  52  4010.587  4009.587  4011.587
d50072  -139.210  22.1  4012.390  52  4010.527  4009.527  4011.527
d50073  -145.916  22.1  4012.390  52  4010.437  4009.437  4011.437
d50074  -152.926  22.1  4012.390  52  4010.343  4009.343  4011.343
d50075  -154.943  22.1  4012.390  52  4010.316  4009.316  4011.316
d10006  -152.461  22.1  4028.346  51  4026.297  4025.297  4027.297
d10007  -156.877  22.1  4028.346  51  4026.238  4025.238  4027.238
d10008  -158.951  22.1  4028.346  51  4026.210  4025.210  4027.210
d10009  -159.293  22.1  4028.346  51  4026.206  4025.206  4027.206
d10011  -158.495  22.1  4028.346  51  4026.216  4025.216  4027.216
d10012  -157.286  22.1  4028.346  51  4026.232  4025.232  4027.232
d10013  -155.579  22.1  4028.346  51  4026.255  4025.255  4027.255
d10014  -153.762  22.1  4028.346  51  4026.280  4025.280  4027.280
d10016  -151.306  22.1  4028.346  51  4026.313  4025.313  4027.313
d10017  -149.237  22.1  4028.346  51  4026.341  4025.341  4027.341
d10018  -147.109  22.1  4028.346  51  4026.369  4025.369  4027.369
d10019  -145.733  22.1  4028.346  51  4026.388  4025.388  4027.388
d10021  -143.520  22.1  4028.346  51  4026.417  4025.417  4027.417
d10022  -142.055  22.1  4028.346  51  4026.437  4025.437  4027.437
d10023  -140.392  22.1  4028.346  51  4026.459  4025.459  4027.459
d10024  -139.068  22.1  4028.346  51  4026.477  4025.477  4027.477
d10026  -137.285  22.1  4028.346  51  4026.501  4025.501  4027.501
d10027  -137.382  22.1  4028.346  51  4026.500  4025.500  4027.500
d10028  -134.076  22.1  4028.346  51  4026.544  4025.544  4027.544
d10029  -133.674  22.1  4028.346  51  4026.550  4025.550  4027.550
d20011  -141.894  22.1  4028.346  51  4026.439  4025.439  4027.439
d20012  -140.718  22.1  4028.346  51  4026.455  4025.455  4027.455
d20013  -138.944  22.1  4028.346  51  4026.479  4025.479  4027.479
d20014  -137.557  22.1  4028.346  51  4026.498  4025.498  4027.498
d20016  -135.433  22.1  4028.346  51  4026.526  4025.526  4027.526
d20017  -134.168  22.1  4028.346  51  4026.543  4025.543  4027.543
d20018  -133.089  22.1  4028.346  51  4026.558  4025.558  4027.558
d20019  -132.285  22.1  4028.346  51  4026.568  4025.568  4027.568
d20021  -131.189  22.1  4028.346  51  4026.583  4025.583  4027.583
d20024  -132.542  22.1  4028.346  51  4026.565  4025.565  4027.565
d20026  -135.071  22.1  4028.346  51  4026.531  4025.531  4027.531
d20027  -139.049  22.1  4028.346  51  4026.478  4025.478  4027.478
d20028  -144.439  22.1  4028.346  51  4026.405  4025.405  4027.405
d20029  -149.635  22.1  4028.346  51  4026.335  4025.335  4027.335
d20031  -154.885  22.1  4028.346  51  4026.265  4025.265  4027.265
d20032  -156.092  22.1  4028.346  51  4026.249  4025.249  4027.249
d20033  -156.599  22.1  4028.346  51  4026.242  4025.242  4027.242
d20034  -156.429  22.1  4028.346  51  4026.244  4025.244  4027.244
d20036  -155.934  22.1  4028.346  51  4026.251  4025.251  4027.251
d20037  -154.837  22.1  4028.346  51  4026.265  4025.265  4027.265
d20038  -153.512  22.1  4028.346  51  4026.283  4025.283  4027.283
d20039  -151.965  22.1  4028.346  51  4026.304  4025.304  4027.304
d20040  -150.387  22.1  4028.346  51  4026.325  4025.325  4027.325
d30009  -153.269  22.1  4028.346  51  4026.287  4025.287  4027.287
d30010  -156.370  22.1  4028.346  51  4026.245  4025.245  4027.245
d30011  -157.290  22.1  4028.346  51  4026.232  4025.232  4027.232
d30012  -157.343  22.1  4028.346  51  4026.232  4025.232  4027.232
d30014  -156.857  22.1  4028.346  51  4026.238  4025.238  4027.238
d30015  -155.282  22.1  4028.346  51  4026.260  4025.260  4027.260
d30016  -153.756  22.1  4028.346  51  4026.280  4025.280  4027.280
d30017  -151.970  22.1  4028.346  51  4026.304  4025.304  4027.304
d30019  -149.222  22.1  4028.346  51  4026.341  4025.341  4027.341
d30020  -147.589  22.1  4028.346  51  4026.363  4025.363  4027.363
d30021  -145.672  22.1  4028.346  51  4026.389  4025.389  4027.389
d30022  -143.943  22.1  4028.346  51  4026.412  4025.412  4027.412
d30024  -141.619  22.1  4028.346  51  4026.443  4025.443  4027.443
d30025  -140.295  22.1  4028.346  51  4026.461  4025.461  4027.461
d30026  -138.513  22.1  4028.346  51  4026.485  4025.485  4027.485
d30027  -137.125  22.1  4028.346  51  4026.503  4025.503  4027.503
d30029  -135.791  22.1  4028.346  51  4026.521  4025.521  4027.521
d30030  -133.815  22.1  4028.346  51  4026.548  4025.548  4027.548
d30031  -132.524  22.1  4028.346  51  4026.565  4025.565  4027.565
d30032  -131.435  22.1  4028.346  51  4026.580  4025.580  4027.580
d30034  -130.343  22.1  4028.346  51  4026.594  4025.594  4027.594
d30035  -130.128  22.1  4028.346  51  4026.597  4025.597  4027.597
d30036  -129.879  22.1  4028.346  51  4026.601  4025.601  4027.601
d30037  -130.543  22.1  4028.346  51  4026.592  4025.592  4027.592
d30039  -133.432  22.1  4028.346  51  4026.553  4025.553  4027.553
d30040  -135.747  22.1  4028.346  51  4026.522  4025.522  4027.522
d40043  -136.469  22.1  4028.346  51  4026.512  4025.512  4027.512
d40044  -134.786  22.1  4028.346  51  4026.535  4025.535  4027.535
d40045  -133.674  22.1  4028.346  51  4026.550  4025.550  4027.550
d40046  -132.485  22.1  4028.346  51  4026.566  4025.566  4027.566
d40048  -131.485  22.1  4028.346  51  4026.579  4025.579  4027.579
d40049  -130.963  22.1  4028.346  51  4026.586  4025.586  4027.586
d40050  -130.490  22.1  4028.346  51  4026.593  4025.593  4027.593
d40051  -131.117  22.1  4028.346  51  4026.584  4025.584  4027.584
d40053  -132.360  22.1  4028.346  51  4026.567  4025.567  4027.567
d40054  -134.132  22.1  4028.346  51  4026.544  4025.544  4027.544
d40055  -136.354  22.1  4028.346  51  4026.514  4025.514  4027.514
d40056  -139.971  22.1  4028.346  51  4026.465  4025.465  4027.465
d40057  -145.999  22.1  4028.346  51  4026.384  4025.384  4027.384
d40059  -152.110  22.1  4028.346  51  4026.302  4025.302  4027.302
d40060  -154.953  22.1  4028.346  51  4026.264  4025.264  4027.264
d40061  -155.664  22.1  4028.346  51  4026.254  4025.254  4027.254
d40062  -156.587  22.1  4028.346  51  4026.242  4025.242  4027.242
d40064  -156.182  22.1  4028.346  51  4026.247  4025.247  4027.247
d40065  -155.294  22.1  4028.346  51  4026.259  4025.259  4027.259
d40066  -154.133  22.1  4028.346  51  4026.275  4025.275  4027.275
d40067  -152.178  22.1  4028.346  51  4026.301  4025.301  4027.301
d40069  -149.619  22.1  4028.346  51  4026.335  4025.335  4027.335
d40070  -148.056  22.1  4028.346  51  4026.356  4025.356  4027.356
d40071  -146.048  22.1  4028.346  51  4026.384  4025.384  4027.384
d40072  -144.348  22.1  4028.346  51  4026.406  4025.406  4027.406
d40074  -142.057  22.1  4028.346  51  4026.437  4025.437  4027.437
d40075  -140.871  22.1  4028.346  51  4026.453  4025.453  4027.453
d40076  -139.777  22.1  4028.346  51  4026.468  4025.468  4027.468
d50042  -157.392  22.1  4028.346  51  4026.231  4025.231  4027.231
d50043  -156.407  22.1  4028.346  51  4026.244  4025.244  4027.244
d50044  -155.517  22.1  4028.346  51  4026.256  4025.256  4027.256
d50045  -154.025  22.1  4028.346  51  4026.276  4025.276  4027.276
d50047  -151.874  22.1  4028.346  51  4026.305  4025.305  4027.305
d50048  -149.815  22.1  4028.346  51  4026.333  4025.333  4027.333
d50049  -148.265  22.1  4028.346  51  4026.354  4025.354  4027.354
d50050  -146.356  22.1  4028.346  51  4026.379  4025.379  4027.379
d50052  -144.401  22.1  4028.346  51  4026.406  4025.406  4027.406
d50053  -142.467  22.1  4028.346  51  4026.432  4025.432  4027.432
d50054  -140.811  22.1  4028.346  51  4026.454  4025.454  4027.454
d50055  -139.233  22.1  4028.346  51  4026.475  4025.475  4027.475
d50057  -137.775  22.1  4028.346  51  4026.495  4025.495  4027.495
d50058  -136.216  22.1  4028.346  51  4026.516  4025.516  4027.516
d50059  -135.101  22.1  4028.346  51  4026.531  4025.531  4027.531
d50060  -133.599  22.1  4028.346  51  4026.551  4025.551  4027.551
d50062  -132.477  22.1  4028.346  51  4026.566  4025.566  4027.566
d50063  -131.016  22.1  4028.346  51  4026.585  4025.585  4027.585
d50064  -130.203  22.1  4028.346  51  4026.596  4025.596  4027.596
d50065  -129.480  22.1  4028.346  51  4026.606  4025.606  4027.606
d50067  -129.761  22.1  4028.346  51  4026.602  4025.602  4027.602
d50068  -130.675  22.1  4028.346  51  4026.590  4025.590  4027.590
d50069  -132.578  22.1  4028.346  51  4026.565  4025.565  4027.565
d50070  -134.722  22.1  4028.346  51  4026.536  4025.536  4027.536
d50072  -139.210  22.1  4028.346  51  4026.475  4025.475  4027.475
d50073  -145.916  22.1  4028.346  51  4026.385  4025.385  4027.385
d50074  -152.926  22.1  4028.346  51  4026.291  4025.291  4027.291
d50075  -154.943  22.1  4028.346  51  4026.264  4025.264  4027.264
d10006  -152.461  26.0  4045.820  51  4043.763  4042.763  4044.763
d10007  -156.877  26.0  4045.820  51  4043.703  4042.703  4044.703
d10008  -158.951  26.0  4045.820  51  4043.675  4042.675  4044.675
d10009  -159.293  26.0  4045.820  51  4043.670  4042.670  4044.670
d10011  -158.495  26.0  4045.820  51  4043.681  4042.681  4044.681
d10012  -157.286  26.0  4045.820  51  4043.698  4042.698  4044.698
d10013  -155.579  26.0  4045.820  51  4043.720  4042.720  4044.720
d10014  -153.762  26.0  4045.820  51  4043.745  4042.745  4044.745
d10016  -151.306  26.0  4045.820  51  4043.778  4042.778  4044.778
d10017  -149.237  26.0  4045.820  51  4043.806  4042.806  4044.806
d10018  -147.109  26.0  4045.820  51  4043.835  4042.835  4044.835
d10019  -145.733  26.0  4045.820  51  4043.853  4042.853  4044.853
d10021  -143.520  26.0  4045.820  51  4043.883  4042.883  4044.883
d10022  -142.055  26.0  4045.820  51  4043.903  4042.903  4044.903
d10023  -140.392  26.0  4045.820  51  4043.925  4042.925  4044.925
d10024  -139.068  26.0  4045.820  51  4043.943  4042.943  4044.943
d10026  -137.285  26.0  4045.820  51  4043.967  4042.967  4044.967
d10027  -137.382  26.0  4045.820  51  4043.966  4042.966  4044.966
d10028  -134.076  26.0  4045.820  51  4044.011  4043.011  4045.011
d10029  -133.674  26.0  4045.820  51  4044.016  4043.016  4045.016
d20011  -141.894  26.0  4045.820  51  4043.905  4042.905  4044.905
d20012  -140.718  26.0  4045.820  51  4043.921  4042.921  4044.921
d20013  -138.944  26.0  4045.820  51  4043.945  4042.945  4044.945
d20014  -137.557  26.0  4045.820  51  4043.964  4042.964  4044.964
d20016  -135.433  26.0  4045.820  51  4043.992  4042.992  4044.992
d20017  -134.168  26.0  4045.820  51  4044.010  4043.010  4045.010
d20018  -133.089  26.0  4045.820  51  4044.024  4043.024  4045.024
d20019  -132.285  26.0  4045.820  51  4044.035  4043.035  4045.035
d20021  -131.189  26.0  4045.820  51  4044.050  4043.050  4045.050
d20024  -132.542  26.0  4045.820  51  4044.031  4043.031  4045.031
d20026  -135.071  26.0  4045.820  51  4043.997  4042.997  4044.997
d20027  -139.049  26.0  4045.820  51  4043.943  4042.943  4044.943
d20028  -144.439  26.0  4045.820  51  4043.871  4042.871  4044.871
d20029  -149.635  26.0  4045.820  51  4043.801  4042.801  4044.801
d20031  -154.885  26.0  4045.820  51  4043.730  4042.730  4044.730
d20032  -156.092  26.0  4045.820  51  4043.714  4042.714  4044.714
d20033  -156.599  26.0  4045.820  51  4043.707  4042.707  4044.707
d20034  -156.429  26.0  4045.820  51  4043.709  4042.709  4044.709
d20036  -155.934  26.0  4045.820  51  4043.716  4042.716  4044.716
d20037  -154.837  26.0  4045.820  51  4043.730  4042.730  4044.730
d20038  -153.512  26.0  4045.820  51  4043.748  4042.748  4044.748
d20039  -151.965  26.0  4045.820  51  4043.769  4042.769  4044.769
d20040  -150.387  26.0  4045.820  51  4043.791  4042.791  4044.791
d30009  -153.269  26.0  4045.820  51  4043.752  4042.752  4044.752
d30010  -156.370  26.0  4045.820  51  4043.710  4042.710  4044.710
d30011  -157.290  26.0  4045.820  51  4043.698  4042.698  4044.698
d30012  -157.343  26.0  4045.820  51  4043.697  4042.697  4044.697
d30014  -156.857  26.0  4045.820  51  4043.703  4042.703  4044.703
d30015  -155.282  26.0  4045.820  51  4043.724  4042.724  4044.724
d30016  -153.756  26.0  4045.820  51  4043.745  4042.745  4044.745
d30017  -151.970  26.0  4045.820  51  4043.769  4042.769  4044.769
d30019  -149.222  26.0  4045.820  51  4043.806  4042.806  4044.806
d30020  -147.589  26.0  4045.820  51  4043.828  4042.828  4044.828
d30021  -145.672  26.0  4045.820  51  4043.854  4042.854  4044.854
d30022  -143.943  26.0  4045.820  51  4043.878  4042.878  4044.878
d30024  -141.619  26.0  4045.820  51  4043.909  4042.909  4044.909
d30025  -140.295  26.0  4045.820  51  4043.927  4042.927  4044.927
d30026  -138.513  26.0  4045.820  51  4043.951  4042.951  4044.951
d30027  -137.125  26.0  4045.820  51  4043.969  4042.969  4044.969
d30029  -135.791  26.0  4045.820  51  4043.988  4042.988  4044.988
d30030  -133.815  26.0  4045.820  51  4044.014  4043.014  4045.014
d30031  -132.524  26.0  4045.820  51  4044.032  4043.032  4045.032
d30032  -131.435  26.0  4045.820  51  4044.046  4043.046  4045.046
d30034  -130.343  26.0  4045.820  51  4044.061  4043.061  4045.061
d30035  -130.128  26.0  4045.820  51  4044.064  4043.064  4045.064
d30036  -129.879  26.0  4045.820  51  4044.067  4043.067  4045.067
d30037  -130.543  26.0  4045.820  51  4044.058  4043.058  4045.058
d30039  -133.432  26.0  4045.820  51  4044.019  4043.019  4045.019
d30040  -135.747  26.0  4045.820  51  4043.988  4042.988  4044.988
d40043  -136.469  26.0  4045.820  51  4043.979  4042.979  4044.979
d40044  -134.786  26.0  4045.820  51  4044.001  4043.001  4045.001
d40045  -133.674  26.0  4045.820  51  4044.016  4043.016  4045.016
d40046  -132.485  26.0  4045.820  51  4044.032  4043.032  4045.032
d40048  -131.485  26.0  4045.820  51  4044.046  4043.046  4045.046
d40049  -130.963  26.0  4045.820  51  4044.053  4043.053  4045.053
d40050  -130.490  26.0  4045.820  51  4044.059  4043.059  4045.059
d40051  -131.117  26.0  4045.820  51  4044.051  4043.051  4045.051
d40053  -132.360  26.0  4045.820  51  4044.034  4043.034  4045.034
d40054  -134.132  26.0  4045.820  51  4044.010  4043.010  4045.010
d40055  -136.354  26.0  4045.820  51  4043.980  4042.980  4044.980
d40056  -139.971  26.0  4045.820  51  4043.931  4042.931  4044.931
d40057  -145.999  26.0  4045.820  51  4043.850  4042.850  4044.850
d40059  -152.110  26.0  4045.820  51  4043.767  4042.767  4044.767
d40060  -154.953  26.0  4045.820  51  4043.729  4042.729  4044.729
d40061  -155.664  26.0  4045.820  51  4043.719  4042.719  4044.719
d40062  -156.587  26.0  4045.820  51  4043.707  4042.707  4044.707
d40064  -156.182  26.0  4045.820  51  4043.712  4042.712  4044.712
d40065  -155.294  26.0  4045.820  51  4043.724  4042.724  4044.724
d40066  -154.133  26.0  4045.820  51  4043.740  4042.740  4044.740
d40067  -152.178  26.0  4045.820  51  4043.766  4042.766  4044.766
d40069  -149.619  26.0  4045.820  51  4043.801  4042.801  4044.801
d40070  -148.056  26.0  4045.820  51  4043.822  4042.822  4044.822
d40071  -146.048  26.0  4045.820  51  4043.849  4042.849  4044.849
d40072  -144.348  26.0  4045.820  51  4043.872  4042.872  4044.872
d40074  -142.057  26.0  4045.820  51  4043.903  4042.903  4044.903
d40075  -140.871  26.0  4045.820  51  4043.919  4042.919  4044.919
d40076  -139.777  26.0  4045.820  51  4043.934  4042.934  4044.934
d50042  -157.392  26.0  4045.820  51  4043.696  4042.696  4044.696
d50043  -156.407  26.0  4045.820  51  4043.709  4042.709  4044.709
d50044  -155.517  26.0  4045.820  51  4043.721  4042.721  4044.721
d50045  -154.025  26.0  4045.820  51  4043.741  4042.741  4044.741
d50047  -151.874  26.0  4045.820  51  4043.771  4042.771  4044.771
d50048  -149.815  26.0  4045.820  51  4043.798  4042.798  4044.798
d50049  -148.265  26.0  4045.820  51  4043.819  4042.819  4044.819
d50050  -146.356  26.0  4045.820  51  4043.845  4042.845  4044.845
d50052  -144.401  26.0  4045.820  51  4043.871  4042.871  4044.871
d50053  -142.467  26.0  4045.820  51  4043.897  4042.897  4044.897
d50054  -140.811  26.0  4045.820  51  4043.920  4042.920  4044.920
d50055  -139.233  26.0  4045.820  51  4043.941  4042.941  4044.941
d50057  -137.775  26.0  4045.820  51  4043.961  4042.961  4044.961
d50058  -136.216  26.0  4045.820  51  4043.982  4042.982  4044.982
d50059  -135.101  26.0  4045.820  51  4043.997  4042.997  4044.997
d50060  -133.599  26.0  4045.820  51  4044.017  4043.017  4045.017
d50062  -132.477  26.0  4045.820  51  4044.032  4043.032  4045.032
d50063  -131.016  26.0  4045.820  51  4044.052  4043.052  4045.052
d50064  -130.203  26.0  4045.820  51  4044.063  4043.063  4045.063
d50065  -129.480  26.0  4045.820  51  4044.073  4043.073  4045.073
d50067  -129.761  26.0  4045.820  51  4044.069  4043.069  4045.069
d50068  -130.675  26.0  4045.820  51  4044.057  4043.057  4045.057
d50069  -132.578  26.0  4045.820  51  4044.031  4043.031  4045.031
d50070  -134.722  26.0  4045.820  51  4044.002  4043.002  4045.002
d50072  -139.210  26.0  4045.820  51  4043.941  4042.941  4044.941
d50073  -145.916  26.0  4045.820  51  4043.851  4042.851  4044.851
d50074  -152.926  26.0  4045.820  51  4043.756  4042.756  4044.756
d50075  -154.943  26.0  4045.820  51  4043.729  4042.729  4044.729
d10006  -152.461  26.0  4063.605  51  4061.538  4060.538  4062.538
d10007  -156.877  26.0  4063.605  51  4061.479  4060.479  4062.479
d10008  -158.951  26.0  4063.605  51  4061.450  4060.450  4062.450
d10009  -159.293  26.0  4063.605  51  4061.446  4060.446  4062.446
d10011  -158.495  26.0  4063.605  51  4061.457  4060.457  4062.457
d10012  -157.286  26.0  4063.605  51  4061.473  4060.473  4062.473
d10013  -155.579  26.0  4063.605  51  4061.496  4060.496  4062.496
d10014  -153.762  26.0  4063.605  51  4061.521  4060.521  4062.521
d10016  -151.306  26.0  4063.605  51  4061.554  4060.554  4062.554
d10017  -149.237  26.0  4063.605  51  4061.582  4060.582  4062.582
d10018  -147.109  26.0  4063.605  51  4061.611  4060.611  4062.611
d10019  -145.733  26.0  4063.605  51  4061.630  4060.630  4062.630
d10021  -143.520  26.0  4063.605  51  4061.660  4060.660  4062.660
d10022  -142.055  26.0  4063.605  51  4061.679  4060.679  4062.679
d10023  -140.392  26.0  4063.605  51  4061.702  4060.702  4062.702
d10024  -139.068  26.0  4063.605  51  4061.720  4060.720  4062.720
